Text,Intent
Light up the living room.,light_on
Can you brighten this place up?,light_on
"Turn on the kitchen lights, please.",light_on
I need more light in the hallway.,light_on
Let there be light!,light_on
Shine some light on the dining room.,light_on
Get the lights going in the bathroom.,light_on
Time to turn on the lights in the study.,light_on
"Hey, can you switch on the lamp on the nightstand?",light_on
Switch on the overhead light in the bedroom.,light_on
Illuminate the path to the front door.,light_on
Give me some light in this corner.,light_on
Could you make it a bit brighter here?,light_on
I'm having trouble seeing.,light_on
I need some light to read.,light_on
Turn on the lamps in the living room.,light_on
I want to see better.,light_on
"Make the bedroom brighter, please.",light_on
Can you turn on the lights for me?,light_on
It's getting dark.,light_off
"Turn on the light, please.",light_on
I need some illumination in the garage.,light_on
Could you turn on the porch lights?,light_on
Make it brighter in the kitchen.,light_on
Turn on the lights over the sink.,light_on
I'm going to need some light in here.,light_on
Can you turn on the reading lights?,light_on
It's too dark to see.,light_on
Time to brighten this room up.,light_on
Can you activate the lights in the basement?,light_on
Switch on the lights in the closet.,light_on
I need some light over here.,light_on
Could you illuminate the hallway for me?,light_on
Turn on the lights in the guest room.,light_on
Let's get some light in here.,light_on
I'd like to see better in the den.,light_on
Activate the lights in the library.,light_on
Turn on the lights in the game room.,light_on
I need more light to work.,light_on
Can you switch on the lights in the laundry room?,light_on
Turn on the lights in the patio.,light_on
I want to see what I'm doing.,light_on
"Hey, could you turn on the lights in the garage?",light_on
Turn on the lights in the attic.,light_on
Let's brighten up this corner.,light_on
Could you switch on the lights in the playroom?,light_on
I'm feeling a bit lost in the dark.,light_off
Can you illuminate the stairwell?,light_on
It's getting too dark to see.,light_on
Turn off the lights in the bedroom.,light_off
"Switch off the lights in the living room, please.",light_off
Dim the lights in the kitchen.,light_off
"Turn off the lights in the hallway, please.",light_off
It's time to turn off the lights in the study.,light_off
"Hey, can you switch off the lamp on the nightstand?",light_on
Turn off the lights in the bathroom.,light_off
Deactivate the overhead light in the bedroom.,light_on
Can you dim the lights in the dining room?,light_off
"It's bedtime, turn off the lights.",light_off
It's too bright in here.,light_off
Turn off the lamps in the living room.,light_off
I'd like to turn off the lights.,light_off
"Hey, could you switch off the lights in the garage?",light_off
Turn off the lights in the attic.,light_off
Could you dim the lights in the playroom?,light_off
It's time to turn off the lights in the guest room.,light_off
I'd like to lower the lights in the den.,light_off
Deactivate the lights in the library.,light_on
Turn off the lights in the game room.,light_off
"Switch off the lights in the laundry room, please.",light_off
Can you dim the lights in the patio?,light_off
Turn off the lights over the sink.,light_off
Let's dim the lights in this corner.,light_off
Could you switch off the lights in the basement?,light_off
It's time to shut off the lights.,light_off
I'd like to conserve some energy.,light_on
Let's dim the lights in the hallway.,light_off
Could you turn off the lights in the closet?,light_off
Can you turn off the reading lights?,light_off
It's too bright to sleep.,light_off
Time to dim the lights in the kitchen.,light_off
Could you switch off the lights in the playroom?,light_off
It's time to turn off the lights.,light_off
I'm ready to go to sleep.,light_off
Turn off the lights in the hallway.,light_off
Could you dim the lights in the basement?,light_off
I want to dim the lights in the bathroom.,light_off
Could you turn off the lights in the garage?,light_off
"Turn on the air conditioner, please.",ac_on
I'm feeling a bit hot.,ac_on
Activate the AC in the bedroom.,ac_on
"It's warm in here, could you cool down the room?",ac_on
Let's cool this place down.,ac_on
Time to turn on the air conditioning.,ac_on
Turn on the AC in the living room.,ac_on
I want to cool down the house.,ac_on
Could you adjust the thermostat to cool the room?,ac_on
Make it a bit cooler in here.,ac_on
It's getting too hot in here.,ac_on
I need some relief from the heat.,ac_on
Can you turn on the air conditioning?,ac_on
It's sweltering outside.,ac_on
"Turn on the AC in the office, please.",ac_on
It's getting humid in here.,ac_on
Can you activate the AC in the kitchen?,ac_on
I want to lower the temperature in the bedroom.,ac_on
It's getting too warm to sleep.,ac_on
Can you adjust the thermostat?,ac_on
I need some relief from this heat.,ac_on
It's getting uncomfortable in here.,ac_on
Turn on the AC unit.,ac_on
Could you turn on the air conditioning?,ac_on
I'm feeling too hot.,ac_on
Make it cooler in here.,ac_on
Activate the AC in the guest room.,ac_on
It's too warm to work.,ac_on
Can you cool down the house for me?,ac_on
Turn on the air conditioning.,ac_on
It's getting stuffy in here.,ac_on
Let's cool down the living room.,ac_on
Activate the AC in the study.,ac_on
I want to cool down the basement.,ac_on
Turn on the AC in the den.,ac_on
It's too hot to read.,ac_on
Can you cool down the game room?,ac_on
Let's turn on the AC in the library.,ac_on
"Turn off the air conditioning, please.",ac_off
It's getting too cold in here.,ac_off
Deactivate the AC in the bedroom.,ac_off
I'm feeling a bit chilly.,ac_off
Let's turn off the air conditioning.,ac_off
Turn off the AC in the living room.,ac_off
I want to conserve energy.,ac_off
Could you adjust the thermostat to turn off the AC?,ac_off
It's comfortable now.,ac_off
"Turn off the AC in the office, please.",ac_off
It's getting breezy outside.,ac_off
Could you deactivate the AC in the kitchen?,ac_off
It's time to turn off the AC in the bathroom.,ac_off
